Skill,Resource(free),Resource(paid)
Splunk,Splunk Enterprise Free Trial,https://www.udemy.com/course/splunk-dashboard/
SPSS,IBM Documentation,https://www.udemy.com/course/spss-for-complete-beginners/
Spring Boot,https://spring.io/guides/gs/spring-boot/,https://www.udemy.com/course/spring-hibernate-tutorial/
SQL,SQL Tutorial,https://www.coursera.org/learn/sql-data-science
SQL Server,https://learn.microsoft.com/en-us/training/paths/administer-sql-server/,https://www.udemy.com/course/sql-server-2022-essential-training/
SQLAlchemy,SQLAlchemy Documentation,https://www.udemy.com/course/sqlalchemy-orm-tutorial-for-python-developers/
SQLite,SQLite Documentation,https://www.udemy.com/course/sqlite-database-course/
Stakeholder Mapping,https://www.atlassian.com/team-playbook/plays/stakeholder-map,https://www.linkedin.com/learning/stakeholder-management-and-analysis
Stata,StataCorp LLC - YouTube,https://www.udemy.com/course/stata-data-analysis/
Storybook,Get started with Storybook | Storybook docs,https://www.udemy.com/course/storybook-for-react-developers/
Strapi,Strapi Documentation,https://www.udemy.com/course/strapi-headless-cms/
SurferSEO,Surfer Blog — Your Guide to Smarter SEO and Marketing,https://surferseo.com/
SWOT Analysis,https://www.mindtools.com/a4wo118/swot-analysis,https://www.linkedin.com/learning/conducting-a-swot-analysis
System Design,GitHub - donnemartin/system-design-primer: Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,https://www.udemy.com/course/grokking-the-system-design-interview/
Tableau,Free Training Videos - 2023.2,https://www.udemy.com/course/tableau10/
Tailwind,Installing Tailwind CSS with Vite,https://tailwindui.com/
Tally,https://tallysolutions.com/resources/,https://www.udemy.com/course/tallyerp9-with-gst-complete-course/
Tax Compliance Tools,https://cleartax.in/s/,TurboTax
TDD,https://www.codecademy.com/learn/learn-test-driven-development,https://www.udemy.com/course/test-driven-development-tdd-with-java-and-junit/
Technical Drafting Standards,Search | MIT OpenCourseWare | Free Online Course Materials,https://www.linkedin.com/learning/engineering-drawing-and-design-fundamentals
TensorFlow,Tutorials | TensorFlow Core,https://www.udemy.com/course/deep-learning-with-tensorflow-2/
Terraform,https://developer.hashicorp.com/terraform/learn,Learning DevOps with Terraform Infrastructure Automation Course | Udemy
"Testing Frameworks (Jest, Mocha)",Getting Started · Jest,https://www.udemy.com/course/automated-software-testing-with-javascript/
Time Series Analysis,Statistics and Probability | Khan Academy,https://www.udemy.com/course/time-series-analysis-with-python/
Training Tools,TalentLMS,https://www.linkedin.com/learning/designing-a-training-program
Transcription Tools (Otter.ai),https://otter.ai/help,Pricing | Otter.ai
Trello,https://trello.com/guide,https://www.udemy.com/course/trello-project-management/
TypeScript,TypeScript Documentation,https://www.udemy.com/course/understanding-typescript/
Typography,Fonts Knowledge - Google Fonts,https://www.udemy.com/course/typography-for-designers-and-developers/
UML,UML Tutorial: From Problem Description to Models,https://www.udemy.com/course/uml-and-object-oriented-design-foundations/
Unit Testing (JUnit/PyTest),JUnit 5 User Guide,https://www.udemy.com/course/junit-5-beginners-guide/
User Personas,What are Personas? — updated 2025 | IxDF,https://www.coursera.org/learn/user-research
Valuation Models,https://www.investopedia.com/articles/fundamental/03/082703.asp,https://www.udemy.com/course/company-valuation-modeling/
Venue Softwares,Skedda,https://www.eventpro.net/
Video Recording Tools (OBS),Help Portal | OBS,https://www.udemy.com/course/obs-studio-masterclass/
Vite,https://vitejs.dev/guide/,https://www.udemy.com/course/vite-react/
VMware,VMware HOL,https://www.udemy.com/course/vmware-vsphere-7-professional-course/
Webpack,Concepts | webpack,https://www.udemy.com/course/webpack-course/
Wireshark,Wireshark • Go Deep | Documentation,https://www.udemy.com/course/wireshark/
WordPress,https://learn.wordpress.org/,https://www.udemy.com/course/wordpress-for-beginners-create-a-website-blog-step-by-step/
Workday,https://www.youtube.com/results?search_query=Workday+HCM+training,https://www.udemy.com/course/workday-hcm-training/
Xero,https://central.xero.com/learning/,https://www.udemy.com/course/xero-online-bookkeeping-accounting-course/
XD,https://helpx.adobe.com/xd/tutorials.html,User Experience Design Essentials - Adobe XD UI UX Design | Udemy
XGBoost,XGBoost Documentation,https://www.udemy.com/course/machine-learning-xgboost-python/
XML,XML Tutorial,https://www.udemy.com/course/learn-xml-a-complete-guide/
Zabbix,Zabbix Manual,Zabbix 7 Application and Network Monitoring | Udemy
Zapier,Zapier guides,https://www.udemy.com/course/automate-your-business-with-zapier/
Zero Trust,Zero Trust Guidance Center | Microsoft Learn,https://www.coursera.org/specializations/zero-trust-security
Zoho Books,Help & Support | Zoho Books,https://www.udemy.com/course/zoho-books-complete-training/
Zoho CRM,https://www.zoho.com/crm/academy/,https://www.udemy.com/course/zoho-crm-training/
Zoho Expense,User Guide | Zoho Expense,https://www.linkedin.com/learning/zoho-expense-training
Zoom,Zoom Learning Center,https://www.linkedin.com/learning/zoom-essential-training
